物件種別,物件コード,問合せコード,外部物件区分,外部物件コード,現況,公開状態,エラー,賃料,間取,所在階,築年月,物件名,フリガナ,所在地,管理費,共益費,敷金,礼金,保証金,敷引,更新料,面積（土地）,面積（専有）,坪数(代表),坪単価(代表),物件確認日,登録日,更新日,自社先物,取引態様,業者名,元付担当者,TEL,駐車場,物件メモ,郵便番号
倉庫,R00177-003952,,,,居住中,公開可,無,660000,,階,1992年01月,福岡県糟屋郡宇美町ゆりが丘3丁目の貸倉庫【210坪】,,福岡県糟屋郡宇美町ゆりが丘３丁目3-20,3850,,3.00,1.00,,,,,696.31,210.63,3134,2026/07/28,"2024/09/11 11:29","2026/07/28 16:18",先物(仲介),,入江不動産株式会社,-,"=""092-933-0001""",空有,前回募集時：用途地域無指定、トイレ倉庫内に1個、2tクレーン,8112108
貸地,R00177-004493,,,,更地,アーカイブ(成約),無,1600000,,階,-,福岡県福岡市中央区那の津3丁目の貸地【399坪】,,福岡県福岡市中央区那の津３丁目12-10,,,2.00,,,,,1321.75,,399.82,4002,2026/07/28,"2026/04/28 11:55","2026/07/28 09:21",先物(仲介),,（株）やず企画,-,"=""092-741-2121""",,"地番：53-8
仲介中",8100071
倉庫,R00177-004584,,,,築後未入居,公開可,無,242000,,階,2026年06月,福岡県福岡市早良区原7丁目の貸倉庫・事務所【30坪】,,福岡県福岡市早良区原７丁目10-31,,5500,1.00,1.00,,,5500,,99.80,30.18,8017,2026/07/27,"2026/07/27 15:30","2026/07/27 15:41",先物(仲介),,（株）リアルティリンク,-,"=""092-283-3855""",空有,"THE　BASE　HARA 3",8140022
倉庫,R00177-004583,,,,空,公開可,無,2178000,,階,1991年12月,福岡県糟屋郡新宮町大字三代の貸倉庫【345坪】,,福岡県糟屋郡新宮町大字三代798-4,,,6.00,,,100.00,11000,,1142.36,345.56,6303,2026/07/27,"2026/07/27 11:39","2026/07/27 15:40",先物(仲介),,共立地所（株）,-,"=""092-521-8111""",空有,,8110111
倉庫,R00177-004319,,,,空,公開可,無,3080000,,階,2025年11月,鹿児島県霧島市国分下井の貸倉庫【560坪】,,鹿児島県霧島市国分下井3215-3,,,6.00,1.00,,,,3239.67,1851.24,560,5500,2026/07/27,"2025/10/14 11:20","2026/07/27 09:36",自社,一般媒介,株式会社センチュリーダイソー　福岡支店,-,"=""092-409-0188""",空有,"オーナー反響：㈱ヤマックス
※非公開、オーナー承認後公開",8994463
倉庫,R00177-004581,,,,空,公開可,無,220000,,階,1997年11月,福岡県福岡市博多区空港前5丁目の貸倉庫・事務所【22坪】,,福岡県福岡市博多区空港前５丁目2-28,,,1760000,,,,11000,,75.57,22.85,9624,2026/07/23,"2026/07/23 12:05","2026/07/23 14:42",先物(仲介),,九州地建（株）,-,"=""092-713-8121""",空有,"ウェルズＩＭＴ 106",8120002
倉庫,R00177-004580,,,,空,公開可,無,1705000,,階,1982年01月,福岡県福岡市博多区金の隈1丁目の貸倉庫【256坪】,,福岡県福岡市博多区金の隈１丁目33-46,,,8.00,,,,,1660.96,848.80,256.76,6641,2026/07/23,"2026/07/23 10:42","2026/07/23 14:42",先物(仲介),,株式会社香飛開発,-,"=""092-674-4313""",空有,,8120863
倉庫,R00177-004375,,,,空,アーカイブ(成約),無,1000000,,階,1968年12月,福岡県うきは市吉井町福益の貸工場【453坪】,,福岡県うきは市吉井町福益90-1,,,,1.00,,,16500,,1500.00,453.75,2204,2026/07/23,"2025/12/23 14:37","2026/07/23 13:49",先物(仲介),,アサヒ住宅情報株式会社,-,"=""0942-36-1818""",空有,,8391332
倉庫,R00177-004516,,,,空,アーカイブ(成約),無,230000,,階,1972年05月,福岡県久留米市藤山町の貸倉庫【98坪】,,福岡県久留米市藤山町1651-65,,,4.00,,,,,,325.00,98.31,2340,2026/07/23,"2026/05/29 10:47","2026/07/23 13:49",先物(仲介),,丸山地所,-,"=""0942-32-7926""",,,8300053
倉庫,R00177-004517,,,,空,公開可,無,1650000,,階,1975年05月,佐賀県鳥栖市安楽寺町の貸倉庫【560坪】,,佐賀県鳥栖市安楽寺町1005,,,4950000,,,,,3728.67,1851.79,560.16,2946,2026/07/22,"2026/06/01 10:58","2026/07/22 17:58",先物(仲介),,(株)マツウラ,-,"=""0944-73-3964""",空有,住宅設備系の板金工場のみ可,8410045
倉庫,R00177-004501,,,,居住中,アーカイブ(成約),無,440000,,階,1997年06月,福岡県飯塚市徳前の貸倉庫・事務所【51坪】,,福岡県飯塚市徳前206-3,,,,,3.00,,19800,180.89,168.71,51.03,8622,2026/06/10,"2026/05/13 15:23","2026/07/22 17:56",先物(仲介),,ＣＩＦＯ（株）福岡支店,-,"=""092-738-3146""",,,8200033
倉庫,R00177-004466,,,,居住中,アーカイブ(成約),無,385000,,階,2002年05月,福岡県春日市一の谷1丁目の貸倉庫・事務所【22坪】,,福岡県春日市一の谷１丁目133,,,6.00,,,,,,73.84,22.33,17237,2026/06/04,"2026/04/07 11:51","2026/07/22 17:44",先物(仲介),,オフィスネットワーク(株),-,"=""092-452-5111""",,,8160852
店舗事務所(建物一括),R00177-004521,,,,空,公開可,無,330000,,階,2014年01月,熊本県玉名郡玉東町大字山口の貸店舗【60坪】,,熊本県玉名郡玉東町大字山口71-1,,,6.00,1.00,,,,,199.41,60.32,5471,2026/07/22,"2026/06/03 14:58","2026/07/22 17:43",先物(仲介),,大坪建設（株）,-,"=""0943-23-5115""",空有,,8690302
倉庫,R00177-003961,,,,空,公開可,無,275000,,階,2004年06月,佐賀県鳥栖市原古賀町の貸倉庫・事務所【53坪】,,佐賀県鳥栖市原古賀町1318,,,2.00,1.00,,,,,176.00,53.24,5166,2026/07/22,"2024/09/20 10:04","2026/07/22 17:40",先物(仲介),,イーグルハウス株式会社鳥栖店,-,"=""0942-81-5901""",空有,"3/31退去、退去後内覧可
倉庫128㎡
事務所48㎡",8410071
倉庫,R00177-004437,,,,使用中,公開可,無,985270,,階,1971年09月,福岡県田川市夏吉の貸倉庫【471坪】,,福岡県田川市大字夏吉4003-1,,51810,,,,,,,1558.44,471.42,2090,2026/07/17,"2026/03/06 16:41","2026/07/22 16:18",自社,一般媒介,株式会社センチュリーダイソー　福岡支店,-,"=""092-409-0188""",空有,"C-4区画
※オーナー希望により工場利用不可
クレーン無し（レールあり）
駐車場：別途契約
2026年内契約でフリーレント、仲手増額キャンペーンあり",8250004
倉庫,R00177-004436,,,,使用中,公開可,無,2037530,,階,1971年09月,福岡県田川市夏吉の貸倉庫【882坪】,,福岡県田川市大字夏吉4003-1,,97020,,,,,,,2916.00,882.09,2310,2026/07/17,"2026/03/06 16:29","2026/07/22 16:15",自社,一般媒介,株式会社センチュリーダイソー　福岡支店,-,"=""092-409-0188""",空有,"A-1区画
※オーナー希望により工場利用不可
クレーン無し（レールあり）
駐車場：別途契約
2026年内契約でフリーレント、仲手増額キャンペーンあり",8250004
貸地,R00177-004572,,,,更地,公開可,無,660800,,階,-,福岡県福岡市東区蒲田4丁目の貸地【420坪】,,福岡県福岡市東区蒲田４丁目387,,,3.00,,,,,1389.78,,420.4,1572,2026/07/22,"2026/07/15 13:54","2026/07/22 16:00",先物(仲介),,（株）コウセイ土地建物,-,"=""092-692-1215""",,7/22物確：設置物不可,8130023
店舗事務所(建物一括),R00177-004511,,,,空,公開可,無,330000,,階,2015年08月,福岡県飯塚市勢田の貸店舗・事務所【60坪】,,福岡県飯塚市勢田2326-1,,,3.00,,,,,2628.20,199.70,60.4,5463,2026/07/22,"2026/05/27 10:53","2026/07/22 16:00",先物(仲介),,大坪建設（株）,-,"=""0943-23-5115""",空有,7/22物確：申込1件あり、7月中を目途に書面出た中からオーナー検討,8201111
倉庫,R00177-004570,,,,居住中,公開可,無,286000,,階,1977年02月,福岡県福岡市南区的場2丁目の貸倉庫・事務所【34坪】,,福岡県福岡市南区的場２丁目19-7,,,3.00,,,,,,115.12,34.82,8213,2026/07/15,"2026/07/15 10:16","2026/07/22 15:39",先物(仲介),,（有）明豊地所,-,"=""092-575-0641""",空有,,8111314
倉庫,R00177-004540,,,,空,アーカイブ(成約),無,1320000,,階,1994年12月,福岡県古賀市谷山の貸倉庫【167坪】,,福岡県古賀市谷山907-1,,,3.00,1.00,,,,2283.32,554.91,167.86,7864,2026/07/22,"2026/06/16 16:33","2026/07/22 10:38",先物(仲介),,（株）タケダコーポレーション九州,-,"=""092-710-6135""",空有,,8113125
倉庫,R00177-004565,,,,空,公開可,無,480000,,階,2019年06月,福岡県北九州市八幡西区京良城町の貸倉庫【72坪】,,福岡県北九州市八幡西区京良城町6-22,,,1.00,1.00,,,,1588.31,238.74,72.21,6647,2026/07/10,"2026/07/10 11:06","2026/07/22 09:47",先物(仲介),,（株）くぼた不動産,-,"=""093-642-0522""",空有,,8060061
倉庫,R00177-004274,,,,空,アーカイブ(成約),無,770000,,階,2026年04月,福岡県糟屋郡新宮町大字下府の貸倉庫・事務所【107坪】,,福岡県糟屋郡新宮町大字下府827,,,6.00,,,,,,355.55,107.55,7160,2026/07/10,"2025/08/06 13:19","2026/07/21 10:33",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,"OP新宮Ⅱ　B棟2号室
新宮町下府16街区1（住所：下府大字827近辺）",8110112
倉庫,R00177-004413,,,,建築中,アーカイブ(成約),無,561000,,階,2026年08月,福岡県糟屋郡新宮町大字原上の貸倉庫【78坪】,,福岡県糟屋郡新宮町大字原上1704-1,,,6.00,,,,,,259.35,78.45,7151,2026/07/10,"2026/02/06 11:40","2026/07/21 09:52",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,オフィスストレージ新宮Ⅰ　B棟1号室,8110101
倉庫,R00177-004354,,,,居住中,アーカイブ(成約),無,990000,,階,1993年09月,福岡県飯塚市小正の貸倉庫・事務所【177坪】,,福岡県飯塚市小正574-1,,,6.00,,,3.00,,1090.00,587.21,177.63,5574,2026/07/17,"2025/11/25 15:56","2026/07/17 16:17",先物(仲介),,株式会社センチュリーダイソー　福岡支店,田中,"=""092-409-0188""",空有,"おばさ
※中村さん担当物件",8200089
貸地,R00177-004552,,,,更地,公開可,無,330000,,階,-,佐賀県鳥栖市曽根崎町の貸地【325坪】,,佐賀県鳥栖市曽根崎町1350-2,,,3.00,3.00,,,100000,1075.00,,325.18,1015,2026/07/16,"2026/06/24 09:39","2026/07/16 16:27",先物(仲介),,（株）トーマスＲＤ,-,"=""092-739-5044""",,"元付：連絡先 092-405-3211　自動アナウンス 1番選択（売買課へ）
上下水なし
コンテナ置いて使うOK",8410025
貸地,R00177-004575,,,,更地,公開可,無,440000,,階,-,福岡県小郡市福童の貸地【897坪】,,福岡県小郡市福童163-1,,,3.00,1.00,,,,2968.00,,897.82,491,2026/07/16,"2026/07/16 14:33","2026/07/16 14:54",先物(仲介),,イーグルハウス株式会社　小郡店,-,"=""0942-27-7916""",,,8380137
倉庫,R00177-004573,,,,居住中,公開可,無,748000,,階,2019年12月,福岡県福岡市博多区金の隈1丁目の貸倉庫・事務所【84坪】,,福岡県福岡市博多区金の隈１丁目36-13,,,3.00,1.00,,,,,278.23,84.16,8888,2026/07/16,"2026/07/16 11:58","2026/07/16 14:53",先物(仲介),,株式会社アトラクト,-,"=""092-775-0223""",空有,2区画一棟貸し,8120863
倉庫,R00177-004232,,,,居住中,アーカイブ(成約),無,1540000,,階,1989年02月,福岡県北九州市小倉北区西港町の貸倉庫【557坪】,,福岡県北九州市小倉北区西港町92-10,,,2.00,2.00,,,,1656.06,1841.65,557.09,2765,2026/07/15,"2025/06/12 12:02","2026/07/15 14:48",先物(仲介),,株式会社ミクニ,-,"=""093-541-0392""",空有,,8030801
貸地,R00177-004571,,,,古家付,公開可,無,2500000,,階,-,福岡県糟屋郡宇美町障子岳南5丁目の貸地【2233坪】,,福岡県糟屋郡宇美町障子岳南５丁目8,,,3.00,,,,,7382.06,,2233.07,1120,2026/07/15,"2026/07/15 12:09","2026/07/15 14:26",先物(仲介),,（株）田島不動産,-,"=""092-581-0621""",,地番：18,8112126
倉庫,R00177-004458,,,,空,アーカイブ(成約),無,880000,,階,1985年07月,福岡県遠賀郡遠賀町大字若松の貸工場【248坪】,,福岡県遠賀郡遠賀町大字若松647-1,,,1.00,,,,,,820.32,248.14,3547,2026/07/14,"2026/03/25 12:09","2026/07/14 14:37",先物(仲介),,（株）アップウェル,-,"=""093-616-6774""",空有,仲介中,8114304
店舗事務所(建物一部),R00177-004569,,,,居住中,公開可,無,231704,,階,1986年02月,福岡県福岡市西区拾六町5丁目の貸店舗【26坪】,,福岡県福岡市西区拾六町５丁目16-21,,,2106400,,,,,,87.07,26.33,8798,2026/07/14,"2026/07/14 10:48","2026/07/14 13:23",先物(仲介),,株式会社大井不動産,-,"=""092-524-0111""",空無,コンダクトヴィレッジ姪浜サウス,8190041
倉庫,R00177-004412,,,,建築中,公開可,無,935000,,階,2026年08月,福岡県糟屋郡新宮町大字原上の貸倉庫【140坪】,,福岡県糟屋郡新宮町大字原上1707-2,,,6.00,,,,,,465.30,140.75,6643,2026/07/10,"2026/02/06 11:37","2026/07/14 09:38",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,オフィスストレージ新宮Ⅰ　A棟,8110101
貸地,R00177-004464,,,,古家付,アーカイブ(成約),無,330000,,階,-,福岡県朝倉市下浦の貸地【798坪】,,福岡県朝倉市下浦2268-1,,,3.00,1.00,,,,2641.00,,798.9,414,2026/05/18,"2026/04/02 11:57","2026/07/14 08:47",先物(仲介),,イーグルハウス㈱,-,"=""0946-22-0773""",,,8380055
店舗事務所(建物一括),R00177-004568,,,,居住中,公開可,無,385000,,階,2017年04月,福岡県嘉麻市岩崎の貸店舗【66坪】,,福岡県嘉麻市岩崎819,,,3.00,,,,,1113.90,220.00,66.55,5786,2026/07/13,"2026/07/13 11:16","2026/07/13 15:17",先物(仲介),,（株）スリーピース不動産,-,"=""0949-52-7002""",空有,売買あり：B00177-000487,8200205
倉庫,R00177-004499,,,,居住中,アーカイブ(成約),無,825000,,階,1980年09月,福岡県糟屋郡志免町南里4丁目の貸工場【129坪】,,福岡県糟屋郡志免町南里４丁目7-15,,,3.00,,,,,,428.88,129.73,6360,2026/07/13,"2026/05/12 15:41","2026/07/13 14:53",先物(仲介),,マルミ不動産合同会社,-,"=""092-719-0584""",空有,,8112207
貸地,R00177-004541,,,,古家付,アーカイブ(成約),無,1746300,,階,-,福岡県糟屋郡志免町別府東3丁目の貸地【1164坪】,,福岡県糟屋郡志免町別府東３丁目1036-9,,,,,5.00,,,3848.62,,1164.2,1500,2026/06/17,"2026/06/17 11:43","2026/07/13 09:25",先物(仲介),,安田地所株式会社,-,"=""052-932-1041""",,"仲介中

元塗料工場として2022年まで利用（同時期に工場部分解体）
土壌汚染調査、実施済み、問題なしとのこと
事務所解体可能→貸主相談可
新たに建てる場合は借主で

あくまで貸地のため、インフラ関係無し（上下水、電気）
※事務所の電気は撤去された工場から電気、水道取っていた
　",8112231
貸地,R00177-004564,,,,更地,公開可,無,330000,,階,-,福岡県糟屋郡志免町大字吉原の貸地【324坪】,,福岡県糟屋郡志免町大字吉原762-4,,,3.00,,,,,1072.00,,324.28,1018,2026/07/09,"2026/07/09 11:13","2026/07/10 18:57",先物(仲介),,株式会社オンリーワンスタジオ,-,"=""092-437-1078""",,,8112208
貸地,R00177-004567,,,,更地,公開可,無,440000,,階,-,福岡県宗像市冨地原の貸地【768坪】,,福岡県宗像市冨地原110-1,,,,,,,,2542.00,,768.95,573,2026/07/10,"2026/07/10 14:31","2026/07/10 17:17",先物(仲介),,トーセツ商事（株）,-,"=""0940-33-0988""",,,8114154
貸地,R00177-004566,,,,古家付,公開可,無,300000,,階,-,福岡県飯塚市片島2丁目の貸地【519坪】,,福岡県飯塚市片島２丁目8-1,,,1.00,1.00,,,,1717.87,,519.65,578,2026/07/24,"2026/07/10 14:03","2026/07/10 17:17",先物(仲介),,（有）坂口不動産,-,"=""0948-22-7293""",,,8200068
倉庫,R00177-004358,,,,空,公開可,無,880000,,階,1987年05月,熊本県荒尾市金山の貸工場【414坪】,,熊本県荒尾市金山1146-1,,,3.00,,,,,2567.00,1371.38,414.84,2122,2026/07/10,"2025/11/27 11:28","2026/07/10 09:17",先物(仲介),,Y．コーポレーション（株）,-,"=""0944-55-5050""",空有,"元縫製工場
エアコン・リフト・防犯カメラ残置あり",8640162
倉庫,R00177-004406,,,,建築中,アーカイブ(成約),無,1155000,,階,2026年06月,福岡県福岡市博多区麦野6丁目の貸倉庫・事務所【87坪】,,福岡県福岡市博多区麦野６丁目22-1,,,6.00,,,,,,288.92,87.39,13216,2026/02/10,"2026/01/30 11:20","2026/07/09 17:29",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,"オフィスストレージ博多南Ⅰ
住所：麦野6丁目27-32隣",8120882
倉庫,R00177-004248,,,,空,アーカイブ(成約),無,800000,,階,1977年11月,福岡県北九州市門司区新門司3丁目の貸倉庫【211坪】,,福岡県北九州市門司区新門司３丁目67-11,,,1.00,2.00,,,,3287.44,697.81,211.08,3790,2026/07/09,"2025/06/30 11:47","2026/07/09 17:11",先物(仲介),,協栄興産株式会社　小倉支店,-,"=""093-513-5028""",空有,浄化槽,8000115
倉庫,R00177-004513,,,,居住中,アーカイブ(成約),無,396000,,階,1986年01月,福岡県古賀市青柳町の貸倉庫【72坪】,,福岡県古賀市青柳町95-1,,,1.00,2.00,,,,,238.08,72.01,5499,2026/06/11,"2026/05/28 12:02","2026/07/09 13:51",先物(仲介),,日本開発地所,-,"=""0940-26-0660""",,,8113133
倉庫,R00177-004504,,,,居住中,アーカイブ(成約),無,220000,,階,2017年12月,福岡県八女市龍ケ原の貸倉庫【135坪】,,福岡県八女市龍ケ原46-3,,,,1.00,,,,,448.00,135.52,1624,2026/07/09,"2026/05/15 13:37","2026/07/09 11:10",先物(仲介),,（株）ｚｅｒｏソリューション,-,"=""0942-27-8000""",空有,,8340067
店舗事務所(建物一部),R00177-004485,,,,空,公開可,無,185000,,階,2016年01月,福岡県福岡市西区大字羽根戸の貸店舗・事務所【8坪】,,福岡県福岡市西区大字羽根戸17-20,,,3.00,2.00,,3.00,1.00,200.00,26.50,8.01,23079,2026/07/08,"2026/04/22 11:40","2026/07/08 18:24",先物(仲介),,（株）アシスト地所,-,"=""092-811-2286""",空有,"・敷地内の事務所棟は現在別テナント（新テナントの中古車販売）一部利用中のため
　事務所は一部利用、トイレは共有
・敷地、現在は半分を中古車販売店が使用、
　そのため、利用できる範囲は縦に半分にした片側の範囲
・有効敷地面積は約50坪程度で、乗用車であれば7～8台程度駐車可能
・市街化調整区域内にあり",8190038
店舗事務所(建物一部),R00177-004563,,,,空,公開可,無,275000,,階,1984年09月,福岡県福岡市東区箱崎4丁目の貸店舗・事務所【26坪】,,福岡県福岡市東区箱崎４丁目3-16,,,3.00,1.00,,,137500,,88.35,26.72,10290,2026/07/08,"2026/07/08 15:05","2026/07/08 15:52",先物(仲介),,Ｃｈｅｒｒｙ　Ｉｎｖｅｓｔｍｅｎｔ（株）,-,"=""092-753-9525""",空有,"R The Residence箱崎宮前 1階",8120053
倉庫,R00177-004049,,,,築後未入居,アーカイブ(成約),無,330000,,階,2025年03月,福岡県朝倉郡筑前町原地蔵の貸倉庫【55坪】,,福岡県朝倉郡筑前町原地蔵2306-7,,,5.00,1.00,,,,387.29,183.08,55.38,5959,2026/07/08,"2024/12/06 12:31","2026/07/08 15:16",先物(仲介),,（株）アレシア,-,"=""092-555-3677""",空有,"売買ありB00177-000308
地番：2306番7　2306番8
シャッターサイズ高さ3.4mx横3.0m
天高：6m-5.7m
動力なし、設置工事可",8380824
倉庫,R00177-004307,,,,空,アーカイブ(成約),無,275000,,階,1994年04月,福岡県筑紫野市大字俗明院の貸倉庫・事務所【33坪】,,福岡県筑紫野市大字俗明院11-1,,,1.00,1.00,,,11000,,110.45,33.41,8231,2026/07/08,"2025/09/24 12:09","2026/07/08 13:56",先物(仲介),,（株）アーウイン　ドリームステージ二日市駅前店,-,"=""092-918-0001""",空有,ぞくみょういん,8180067
倉庫,R00177-004348,,,,空,公開可,無,715000,,階,1992年10月,福岡県糟屋郡須惠町大字植木の貸倉庫【129坪】,,福岡県糟屋郡須惠町大字植木201-1,,,,,,,,,429.24,129.84,5507,2026/07/29,"2025/11/19 15:13","2026/07/08 13:14",先物(仲介),,株式会社センチュリーダイソー　福岡支店,中村,"=""092-409-0188""",空有,中村さん担当物件,8112112
倉庫,R00177-004550,,,,空,公開可,無,275000,,階,2003年01月,福岡県久留米市田主丸町以真恵の貸倉庫・工場【46坪】,,福岡県久留米市田主丸町以真恵270-3-2,,,3.00,,,,,,154.75,46.81,5875,2026/07/09,"2026/06/23 11:38","2026/07/08 12:16",先物(仲介),,フラワー住宅（株）,-,"=""0943-72-1519""",空有,1階部分のみ,8391223
倉庫,R00177-004555,,,,空,公開可,無,792000,,階,2002年12月,大分県日田市大字東有田の貸工場【643坪】,,大分県日田市大字東有田2724,,,,,3.00,,,4243.00,2125.90,643.08,1232,2026/06/29,"2026/06/29 11:48","2026/07/08 07:55",先物(仲介),,シナジーワークス株式会社,-,"=""0973-22-6208""",空有,,8770000
店舗事務所(建物一部),R00177-004560,,,,建築中,公開可,無,330000,,階,2026年08月,福岡県福岡市東区松田3丁目の貸倉庫・事務所【32坪】,,福岡県福岡市東区松田３丁目20,,,5.00,,,,,,106.82,32.31,10213,2026/07/03,"2026/07/03 11:49","2026/07/07 17:45",先物(仲介),,株式会社三好不動産,-,"=""092-716-5000""",空有,"ＥＪ松田 Ｅａｓｔ　A室
事務所仕上げ",8120064
倉庫,R00177-004405,,,,建築中,アーカイブ(成約),無,407000,,階,2026年06月,福岡県福岡市博多区麦野2丁目の貸倉庫・事務所【40坪】,,福岡県福岡市博多区麦野２丁目16-26,,,6.00,,,,,,134.53,40.69,10002,2026/02/06,"2026/01/30 10:48","2026/07/07 13:51",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,"オフィスパレア博多南Ⅰ　2号室
住所：麦野2丁目15-23隣",8120882
倉庫,R00177-004404,,,,建築中,アーカイブ(成約),無,451000,,階,2026年06月,福岡県福岡市博多区麦野2丁目の貸倉庫・事務所【45坪】,,福岡県福岡市博多区麦野２丁目16-26,,,6.00,,,,,,150.21,45.43,9926,2026/02/26,"2026/01/30 10:46","2026/07/07 13:49",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,"オフィスパレア博多南Ⅰ　1号室
住所：麦野2丁目15-23隣",8120882
店舗事務所(建物一括),R00177-004562,,,,空,公開可,無,660000,,階,1984年04月,福岡県久留米市東合川新町の貸店舗・事務所【189坪】,,福岡県久留米市東合川新町11-16,,,3.00,1.00,,,22000,,624.89,189.02,3492,2026/07/07,"2026/07/07 12:03","2026/07/07 13:43",先物(仲介),,（株）ヒトトイエ　,-,"=""0943-30-3311""",空有,,8390808
倉庫,R00177-004559,,,,居住中,公開可,無,330000,,階,2016年03月,福岡県福岡市博多区西月隈2丁目の貸倉庫・事務所【34坪】,,福岡県福岡市博多区西月隈２丁目2-7,,,6.00,,,,,,113.40,34.3,9621,2026/07/10,"2026/07/02 14:59","2026/07/06 17:33",先物(仲介),,株式会社大熊建設,-,"=""092-504-3142""",空有,オフィスパレア西月隈Ⅰ　2号室,8120857
